id ;collab AN;collab HATVP
marienoellebattistel;4;4
hervepellois;2;2
lisemagnier;3;3
anniegenevard;6;6
jeaninedubie;4;3
regisjuanico;4;4
mohamedlaqhila;3;3
nadiahai;3;4
paulchristophe;4;0
murielressiguier;3;2
ameliedemontchalin;3;5
elisefajgeles;2;2
jeannoelbarrot;4;3
laurentfurst;6;3
huguettebello;3;3
annickgirardin;0;0
gabrielserville;3;2
mainasage;4;4
brunomillienne;3;2
matthieuorphelin;3;3
sylvainwaserman;5;1
christophebouillon;5;6
mariegeorgebuffet;3;2
jeanrenecazeneuve;4;2
xavierbreton;3;4
philippedunoyer;3;3
virginiedubymuller;2;3
pierreyvesbournazel;3;3
vincentdescoeur;3;4
christophecastaner;0;0
christophejerretie;4;4
sachahoulie;4;2
christophenaegelen;3;3
benjamingriveaux;0;0
vincentledoux;3;4
perrinegoulet;3;3
gerardcherpion;3;4
stephaneviry;4;4
brunobilde;3;0
christinehennion;4;3
isabelleflorennes;2;1
thomasmesnier;4;4
alainramadier;4;4
helenezannier;4;3
raphaelschellenberger;3;2
elodiejacquierlaforge;3;3
catherinekamowski;4;2
jeanfelixacquaviva;4;0
georgepaulangevin;3;4
valeriebeauvais;3;1
lauredelaraudiere;4;4
jeancharlescolasroy;4;0
francoisjolivet;4;1
annievidal;5;0
beatricedescamps;3;3
hervesaulignac;3;2
jeanlucwarsmann;5;6
pierremorelalhuissier;4;4
valeriegomezbassac;4;2
stanislasguerini;3;4
ludovicmendes;3;2
stelladupont;4;3
sebastienhuyghe;2;3
genevievedarrieussecq;0;0
gabrielattal;3;1
joaquimpueyo;5;6
cecilerilhac;3;4
fredericreiss;4;4
nicolesanquer;3;3
brahimhammouche;4;3
charlottelecocq;3;3
laurencemaillartmehaignerie;3;2
jeanbaptistemoreau;4;3
philippegomes;4;2
olivierbecht;4;3
marielledesarnez;4;4
brunofuchs;4;2
jeanlucreitzer;3;5
elisabethtoututpicard;4;3
brigittekuster;2;2
margueritedeprezaudebert;4;3
celiadelavergne;4;2
audeamadou;2;2
sylvainmaillard;2;3
nicolasdupontaignan;4;3
paulmolac;3;2
annegenetet;6;4
micheledevaucouleurs;3;3
mansourkamardine;4;1
marielebec;3;3
michelepeyron;4;3
delphinebagarry;4;4
jeancharlestaugourdeau;2;3
coraliedubost;2;4
geraldinebannier;3;1
francoismichellambert;5;3
guillaumegarot;3;3
jeancarlesgrelier;2;3
giselebiemouret;3;3
mireillerobert;3;0
olivierserva;11;4
remyrebeyrotte;3;3
pacomerupin;4;2
jeanphilippenilor;2;3
guillaumevuilletet;4;4
laetitiaavia;5;3
sabinethillaye;4;1
jeanlucfugit;3;3
huguettetiegna;4;5
stephaniekerbarh;3;4
josettemanin;3;1
adrientaquet;4;7
ericdiard;3;0
philippeberta;2;2
raphaelgerard;4;3
cedricroussel;4;2
nathaliebassire;4;5
xavierpaluszkiewicz;2;2
paulandrecolombani;5;5
lauriannerossi;3;0
oliviergaillard;4;3
didierquentin;3;3
yvesblein;2;2
bernardperrut;2;4
danieleherin;2;5
christopheeuzet;3;5
pierrecordier;3;2
philippebolo;3;1
mounirmahjoubi;0;0
patriciagallerneau;3;2
lilianatanguy;4;3
jeanterlier;5;0
jeanlouistouraine;3;5
daniellebrulebois;3;4
helenevainqueurchristophe;3;0
audreydufeuschubert;6;3
stephanemazars;4;2
belkhirbelhaddad;4;4
yannickfavennecbecot;2;3
thomasrudigoz;3;3
daniellabaronne;4;3
jimmypahun;3;3
albanegaillot;3;2
nicolasturquois;4;4
sirasylla;3;4
alaintourret;3;3
vincentbru;2;2
alicethourot;3;4
berengerepoletti;5;5
cedricvillani;5;4
florentboudie;3;3
annaiglemeur;5;3
brunepoirsonnmichelmis;3;1
carolinejanvier;4;4
auroreberge;3;3
xavierroseren;2;1
maudpetit;2;2
nadiaramassamy;5;4
pierrecabare;4;4
audeluquet;3;2
damienpichereau;3;4
mireilleclapot;4;5
benoitsimian;4;2
michelfanget;4;5
joachimsonforget;3;6
jeanpierrevigier;5;4
laurencedumont;3;3
guillaumegouffiercha;2;1
claudegoasguen;3;4
ericgirardin;3;2
clairepitollat;5;2
guillaumechiche;3;2
alaindavid;2;3
anniechapelier;4;5
jeromenury;4;3
bertrandsorre;3;5
stephaneteste;3;2
robinreda;3;0
florencegranjus;2;0
francoisedumas;4;5
jeanjacquesbridey;3;4
mariannedubois;4;3
patriceverchere;5;4
philippechalumeau;2;2
fabienlaine;5;4
jeanfrancoiseliaou;5;3
corinnevignon;5;4
nicoletrisse;2;2
